"CaseMasterID","CaseNo","BriefFacts"
"78","202500078","Case registered at Chikkaballapur PS 18 regarding online fraud. Investigation ongoing under IO Charles."
"79","202500079","Case registered at Bengaluru Urban PS 38 regarding sexual assault. Investigation ongoing under IO Peter."
"80","202600080","Case registered at Bengaluru Urban PS 60 regarding online fraud. Investigation ongoing under IO Vansha."
"81","202400081","Case registered at Raichur PS 15 regarding burglary. Investigation ongoing under IO Yuvraj."
"82","202300082","Case registered at Vijayapura PS 21 regarding sexual assault. Investigation ongoing under IO Odika."
"83","202500083","Case registered at Davanagere PS 16 regarding attempt to murder. Investigation ongoing under IO Ishaan."
"84","202300084","Case registered at Haveri PS 12 regarding criminal breach of trust. Investigation ongoing under IO Farhan."
"85","202500085","Case registered at Chikkamagaluru PS 20 regarding attempt to murder. Investigation ongoing under IO Januja."
"86","202500086","Case registered at Raichur PS 13 regarding public nuisance. Investigation ongoing under IO Saksham."
"87","202500087","Case registered at Gadag PS 13 regarding identity theft. Investigation ongoing under IO Anmol."
"88","202300088","Case registered at Gadag PS 3 regarding public nuisance. Investigation ongoing under IO Ishaan."
"89","202500089","Case registered at Vijayanagara PS 8 regarding attempt to murder. Investigation ongoing under IO Thomas."
"90","202300090","Case registered at Haveri PS 21 regarding online fraud. Investigation ongoing under IO Rajata."
"91","202400091","Case registered at Kalaburagi PS 23 regarding murder. Investigation ongoing under IO Sachi."
"92","202400092","Case registered at Mandya PS 3 regarding robbery. Investigation ongoing under IO Bina."
"93","202500093","Case registered at Yadgir PS 3 regarding gambling. Investigation ongoing under IO Kamala."
"94","202400094","Case registered at Udupi PS 9 regarding cheating. Investigation ongoing under IO Rachit."
"95","202400095","Case registered at Koppal PS 11 regarding online fraud. Investigation ongoing under IO Daksha."
"96","202400096","Case registered at Yadgir PS 15 regarding cheating. Investigation ongoing under IO Anamika."
"97","202300097","Case registered at Koppal PS 6 regarding public nuisance. Investigation ongoing under IO Yashvi."
"98","202400098","Case registered at Koppal PS 2 regarding grievous hurt. Investigation ongoing under IO Kabir."
"99","202400099","Case registered at Bengaluru Urban PS 107 regarding gambling. Investigation ongoing under IO Agastya."
"100","202500100","Case registered at Chikkaballapur PS 20 regarding grievous hurt. Investigation ongoing under IO Mitali."
"101","202400101","Case registered at Kalaburagi PS 37 regarding online fraud. Investigation ongoing under IO Advaith."
"102","202300102","Case registered at Kalaburagi PS 47 regarding criminal breach of trust. Investigation ongoing under IO Chaitanya."
"103","202500103","Case registered at Haveri PS 6 regarding cheating. Investigation ongoing under IO Pooja."
"104","202300104","Case registered at Kalaburagi PS 31 regarding identity theft. Investigation ongoing under IO Triveni."
"105","202300105","Case registered at Bengaluru Rural PS 27 regarding sexual assault. Investigation ongoing under IO Arunima."
"106","202300106","Case registered at Belagavi PS 49 regarding public nuisance. Investigation ongoing under IO Anay."
"107","202500107","Case registered at Davanagere PS 10 regarding domestic violence. Investigation ongoing under IO Sai."
"108","202400108","Case registered at Koppal PS 19 regarding public nuisance. Investigation ongoing under IO Ojasvi."
"109","202300109","Case registered at Bengaluru Urban PS 24 regarding grievous hurt. Investigation ongoing under IO Rudra."
"110","202400110","Case registered at Bagalkot PS 14 regarding dowry harassment. Investigation ongoing under IO Amara."
"111","202300111","Case registered at Bengaluru Urban PS 87 regarding murder. Investigation ongoing under IO Bahadurjit."
"112","202600112","Case registered at Bengaluru Rural PS 25 regarding criminal breach of trust. Investigation ongoing under IO Advik."
"113","202300113","Case registered at Vijayapura PS 15 regarding gambling. Investigation ongoing under IO Avi."
"114","202300114","Case registered at Bagalkot PS 27 regarding theft. Investigation ongoing under IO Zayyan."
"115","202400115","Case registered at Belagavi PS 32 regarding cheating. Investigation ongoing under IO Warhi."
"116","202500116","Case registered at Mandya PS 15 regarding cheating. Investigation ongoing under IO Bimala."
"117","202600117","Case registered at Haveri PS 23 regarding online fraud. Investigation ongoing under IO Advaith."
"118","202600118","Case registered at Kodagu PS 13 regarding sexual assault. Investigation ongoing under IO Rajata."
"119","202500119","Case registered at Hassan PS 1 regarding burglary. Investigation ongoing under IO Bhavya."
"120","202500120","Case registered at Chitradurga PS 6 regarding public nuisance. Investigation ongoing under IO Samesh."
"121","202400121","Case registered at Mysuru PS 7 regarding theft. Investigation ongoing under IO Waida."
"122","202400122","Case registered at Mysuru PS 39 regarding gambling. Investigation ongoing under IO Nilima."
"123","202400123","Case registered at Shivamogga PS 22 regarding identity theft. Investigation ongoing under IO Vrinda."
"124","202300124","Case registered at Vijayanagara PS 4 regarding dowry harassment. Investigation ongoing under IO Advik."
"125","202400125","Case registered at Kodagu PS 18 regarding criminal breach of trust. Investigation ongoing under IO Vamakshi."
"126","202400126","Case registered at Tumakuru PS 20 regarding robbery. Investigation ongoing under IO Oni."
"127","202300127","Case registered at Chikkamagaluru PS 1 regarding public nuisance. Investigation ongoing under IO Aarna."
"128","202400128","Case registered at Chikkamagaluru PS 4 regarding dowry harassment. Investigation ongoing under IO Odika."
"129","202600129","Case registered at Bengaluru Urban PS 78 regarding grievous hurt. Investigation ongoing under IO Vivaan."
"130","202300130","Case registered at Gadag PS 2 regarding identity theft. Investigation ongoing under IO Nilima."
"131","202300131","Case registered at Uttara Kannada PS 8 regarding online fraud. Investigation ongoing under IO Bimala."
"132","202300132","Case registered at Chikkamagaluru PS 6 regarding gambling. Investigation ongoing under IO Anika."
"133","202400133","Case registered at Kalaburagi PS 52 regarding theft. Investigation ongoing under IO Urmi."
"134","202600134","Case registered at Ramanagara PS 25 regarding domestic violence. Investigation ongoing under IO Gagan."
"135","202300135","Case registered at Kolar PS 14 regarding gambling. Investigation ongoing under IO Harshil."
"136","202400136","Case registered at Hassan PS 23 regarding domestic violence. Investigation ongoing under IO Ekani."
"137","202500137","Case registered at Yadgir PS 25 regarding domestic violence. Investigation ongoing under IO Orinder."
"138","202600138","Case registered at Dakshina Kannada PS 26 regarding murder. Investigation ongoing under IO Peter."
"139","202400139","Case registered at Chikkamagaluru PS 14 regarding public nuisance. Investigation ongoing under IO Jhalak."
"140","202500140","Case registered at Mysuru PS 45 regarding identity theft. Investigation ongoing under IO Aishani."
"141","202500141","Case registered at Gadag PS 28 regarding vehicle theft. Investigation ongoing under IO Alexander."
"142","202500142","Case registered at Tumakuru PS 9 regarding online fraud. Investigation ongoing under IO Darsh."
"143","202300143","Case registered at Bengaluru Urban PS 98 regarding dowry harassment. Investigation ongoing under IO Frederick."
"144","202500144","Case registered at Belagavi PS 17 regarding cheating. Investigation ongoing under IO Simon."
"145","202400145","Case registered at Hassan PS 2 regarding online fraud. Investigation ongoing under IO Vasudha."
"146","202600146","Case registered at Dakshina Kannada PS 30 regarding grievous hurt. Investigation ongoing under IO Odika."
"147","202400147","Case registered at Koppal PS 23 regarding sexual assault. Investigation ongoing under IO Vamakshi."
"148","202500148","Case registered at Chikkamagaluru PS 15 regarding cheating. Investigation ongoing under IO Reva."
"149","202300149","Case registered at Chamarajanagar PS 7 regarding murder. Investigation ongoing under IO Jacob."
"150","202600150","Case registered at Dakshina Kannada PS 25 regarding murder. Investigation ongoing under IO Amaira."
"151","202300151","Case registered at Vijayanagara PS 5 regarding domestic violence. Investigation ongoing under IO Girik."
"152","202400152","Case registered at Ballari PS 7 regarding attempt to murder. Investigation ongoing under IO Bakhshi."
"153","202300153","Case registered at Bagalkot PS 5 regarding robbery. Investigation ongoing under IO Rachita."
"154","202600154","Case registered at Chikkaballapur PS 6 regarding murder. Investigation ongoing under IO Warda."
"155","202300155","Case registered at Chikkamagaluru PS 15 regarding robbery. Investigation ongoing under IO Arjun."
"156","202300156","Case registered at Mysuru PS 33 regarding cheating. Investigation ongoing under IO Sai."
"157","202400157","Case registered at Kodagu PS 13 regarding sexual assault. Investigation ongoing under IO Yashica."
"158","202400158","Case registered at Shivamogga PS 25 regarding public nuisance. Investigation ongoing under IO Ishita."
"159","202300159","Case registered at Chikkamagaluru PS 16 regarding sexual assault. Investigation ongoing under IO Turvi."
"160","202500160","Case registered at Mandya PS 22 regarding criminal breach of trust. Investigation ongoing under IO Yoshita."
"161","202300161","Case registered at Davanagere PS 28 regarding attempt to murder. Investigation ongoing under IO Brijesh."
"162","202500162","Case registered at Hassan PS 28 regarding dowry harassment. Investigation ongoing under IO Libni."
"163","202300163","Case registered at Bengaluru Urban PS 16 regarding gambling. Investigation ongoing under IO David."
"164","202400164","Case registered at Kolar PS 24 regarding dowry harassment. Investigation ongoing under IO Damyanti."
"165","202500165","Case registered at Chikkaballapur PS 29 regarding criminal breach of trust. Investigation ongoing under IO Zashil."
"166","202400166","Case registered at Tumakuru PS 29 regarding public nuisance. Investigation ongoing under IO Hardik."
"167","202300167","Case registered at Ballari PS 31 regarding criminal breach of trust. Investigation ongoing under IO Champak."
"168","202400168","Case registered at Udupi PS 25 regarding criminal breach of trust. Investigation ongoing under IO Aahana."
"169","202300169","Case registered at Kalaburagi PS 40 regarding vehicle theft. Investigation ongoing under IO Shaurya."
"170","202600170","Case registered at Kalaburagi PS 56 regarding grievous hurt. Investigation ongoing under IO Abdul."
"171","202400171","Case registered at Bagalkot PS 25 regarding identity theft. Investigation ongoing under IO Dipta."
"172","202300172","Case registered at Yadgir PS 29 regarding online fraud. Investigation ongoing under IO William."
"173","202300173","Case registered at Raichur PS 18 regarding dowry harassment. Investigation ongoing under IO Darsh."
"174","202600174","Case registered at Chamarajanagar PS 9 regarding identity theft. Investigation ongoing under IO Waida."
"175","202500175","Case registered at Chitradurga PS 25 regarding cheating. Investigation ongoing under IO Aditya."
"176","202400176","Case registered at Gadag PS 6 regarding domestic violence. Investigation ongoing under IO Avni."
"177","202300177","Case registered at Yadgir PS 4 regarding vehicle theft. Investigation ongoing under IO Guneet."
"178","202500178","Case registered at Bengaluru Urban PS 90 regarding domestic violence. Investigation ongoing under IO Aarna."
"179","202400179","Case registered at Koppal PS 12 regarding online fraud. Investigation ongoing under IO Arunima."
"180","202500180","Case registered at Yadgir PS 10 regarding gambling. Investigation ongoing under IO Damini."
"181","202400181","Case registered at Shivamogga PS 23 regarding murder. Investigation ongoing under IO Abdul."
"182","202600182","Case registered at Bengaluru Urban PS 56 regarding attempt to murder. Investigation ongoing under IO Tara."
"183","202300183","Case registered at Gadag PS 6 regarding online fraud. Investigation ongoing under IO Arjun."
"184","202400184","Case registered at Bengaluru Urban PS 55 regarding cheating. Investigation ongoing under IO Geetika."
"185","202600185","Case registered at Ramanagara PS 5 regarding cheating. Investigation ongoing under IO Pahal."
"186","202300186","Case registered at Bidar PS 17 regarding robbery. Investigation ongoing under IO Dalbir."
"187","202500187","Case registered at Bengaluru Urban PS 18 regarding online fraud. Investigation ongoing under IO Yatan."
"188","202400188","Case registered at Vijayapura PS 17 regarding vehicle theft. Investigation ongoing under IO Ryan."
"189","202500189","Case registered at Kalaburagi PS 25 regarding criminal breach of trust. Investigation ongoing under IO Daniel."
"190","202300190","Case registered at Uttara Kannada PS 17 regarding identity theft. Investigation ongoing under IO Widisha."
"191","202600191","Case registered at Chikkaballapur PS 17 regarding sexual assault. Investigation ongoing under IO Ekta."
"192","202400192","Case registered at Chikkaballapur PS 15 regarding vehicle theft. Investigation ongoing under IO Faris."
"193","202500193","Case registered at Haveri PS 29 regarding domestic violence. Investigation ongoing under IO Rudra."
"194","202600194","Case registered at Gadag PS 6 regarding gambling. Investigation ongoing under IO Keya."
"195","202400195","Case registered at Kolar PS 11 regarding theft. Investigation ongoing under IO Ojas."
"196","202400196","Case registered at Raichur PS 15 regarding sexual assault. Investigation ongoing under IO Neha."
"197","202300197","Case registered at Gadag PS 25 regarding robbery. Investigation ongoing under IO Yasti."
"198","202300198","Case registered at Chitradurga PS 10 regarding cheating. Investigation ongoing under IO Krishna."
"199","202400199","Case registered at Chamarajanagar PS 3 regarding cheating. Investigation ongoing under IO Waida."
"200","202500200","Case registered at Ramanagara PS 16 regarding gambling. Investigation ongoing under IO Victor."
"201","202500201","Case registered at Kolar PS 1 regarding cheating. Investigation ongoing under IO Ikbal."
"202","202300202","Case registered at Bidar PS 4 regarding online fraud. Investigation ongoing under IO Peter."
"203","202300203","Case registered at Uttara Kannada PS 22 regarding attempt to murder. Investigation ongoing under IO Odika."
"204","202300204","Case registered at Raichur PS 6 regarding burglary. Investigation ongoing under IO Chakradhar."
"205","202500205","Case registered at Gadag PS 27 regarding gambling. Investigation ongoing under IO William."
"206","202500206","Case registered at Chikkamagaluru PS 7 regarding attempt to murder. Investigation ongoing under IO Nirja."
"207","202400207","Case registered at Chitradurga PS 20 regarding criminal breach of trust. Investigation ongoing under IO Brinda."
"208","202300208","Case registered at Mysuru PS 50 regarding sexual assault. Investigation ongoing under IO Daksha."
"209","202300209","Case registered at Udupi PS 8 regarding attempt to murder. Investigation ongoing under IO Yash."
"210","202400210","Case registered at Bengaluru Urban PS 24 regarding public nuisance. Investigation ongoing under IO Liam."
"211","202400211","Case registered at Dharwad PS 2 regarding theft. Investigation ongoing under IO Oliver."
"212","202400212","Case registered at Mandya PS 16 regarding attempt to murder. Investigation ongoing under IO Chandresh."
"213","202500213","Case registered at Bagalkot PS 6 regarding dowry harassment. Investigation ongoing under IO Chasmum."
"214","202500214","Case registered at Bidar PS 29 regarding dowry harassment. Investigation ongoing under IO Arunima."
"215","202300215","Case registered at Gadag PS 7 regarding cheating. Investigation ongoing under IO Abhiram."
"216","202600216","Case registered at Bengaluru Urban PS 19 regarding public nuisance. Investigation ongoing under IO Janaki."
"217","202400217","Case registered at Yadgir PS 25 regarding burglary. Investigation ongoing under IO Yoshita."
"218","202600218","Case registered at Udupi PS 14 regarding burglary. Investigation ongoing under IO Tanvi."
"219","202400219","Case registered at Raichur PS 17 regarding cheating. Investigation ongoing under IO Xavier."
"220","202500220","Case registered at Kalaburagi PS 20 regarding criminal breach of trust. Investigation ongoing under IO Jagrati."
"221","202600221","Case registered at Chikkaballapur PS 14 regarding grievous hurt. Investigation ongoing under IO Balhaar."
"222","202300222","Case registered at Bengaluru Urban PS 104 regarding gambling. Investigation ongoing under IO Manbir."
"223","202300223","Case registered at Raichur PS 4 regarding gambling. Investigation ongoing under IO Ekaja."
"224","202500224","Case registered at Mandya PS 18 regarding gambling. Investigation ongoing under IO Farhan."
"225","202400225","Case registered at Raichur PS 14 regarding criminal breach of trust. Investigation ongoing under IO Jeet."
"226","202500226","Case registered at Kalaburagi PS 7 regarding domestic violence. Investigation ongoing under IO Ryan."
"227","202500227","Case registered at Mysuru PS 5 regarding public nuisance. Investigation ongoing under IO Siya."
"228","202500228","Case registered at Ballari PS 55 regarding criminal breach of trust. Investigation ongoing under IO Elijah."
"229","202600229","Case registered at Bengaluru Urban PS 75 regarding robbery. Investigation ongoing under IO Deepa."
"230","202500230","Case registered at Uttara Kannada PS 23 regarding grievous hurt. Investigation ongoing under IO Abeer."
"231","202300231","Case registered at Vijayanagara PS 3 regarding cheating. Investigation ongoing under IO Devika."
"232","202400232","Case registered at Dakshina Kannada PS 55 regarding online fraud. Investigation ongoing under IO Udarsh."
"233","202500233","Case registered at Bengaluru Rural PS 12 regarding attempt to murder. Investigation ongoing under IO Diya."
"234","202400234","Case registered at Belagavi PS 13 regarding online fraud. Investigation ongoing under IO Zaitra."
"235","202300235","Case registered at Bengaluru Urban PS 10 regarding attempt to murder. Investigation ongoing under IO Oeshi."
"236","202400236","Case registered at Dharwad PS 24 regarding sexual assault. Investigation ongoing under IO Radhika."
"237","202400237","Case registered at Hassan PS 26 regarding burglary. Investigation ongoing under IO Banjeet."
"238","202500238","Case registered at Yadgir PS 17 regarding murder. Investigation ongoing under IO Raksha."
"239","202500239","Case registered at Kodagu PS 16 regarding cheating. Investigation ongoing under IO Siya."
"240","202300240","Case registered at Bengaluru Urban PS 2 regarding gambling. Investigation ongoing under IO Yasti."
"241","202300241","Case registered at Kalaburagi PS 25 regarding criminal breach of trust. Investigation ongoing under IO Bimala."
"242","202600242","Case registered at Dharwad PS 17 regarding gambling. Investigation ongoing under IO Dalbir."
"243","202300243","Case registered at Hassan PS 19 regarding dowry harassment. Investigation ongoing under IO Ekani."
"244","202600244","Case registered at Kalaburagi PS 50 regarding cheating. Investigation ongoing under IO Sneha."
"245","202300245","Case registered at Kolar PS 12 regarding robbery. Investigation ongoing under IO Kamala."
"246","202300246","Case registered at Mysuru PS 9 regarding gambling. Investigation ongoing under IO Qasim."
"247","202400247","Case registered at Ballari PS 53 regarding criminal breach of trust. Investigation ongoing under IO Saksham."
"248","202500248","Case registered at Raichur PS 21 regarding identity theft. Investigation ongoing under IO William."
"249","202300249","Case registered at Mysuru PS 19 regarding gambling. Investigation ongoing under IO Laksh."
"250","202500250","Case registered at Gadag PS 11 regarding public nuisance. Investigation ongoing under IO Shaurya."
"251","202400251","Case registered at Mandya PS 28 regarding gambling. Investigation ongoing under IO Abhimanyu."
"252","202300252","Case registered at Dakshina Kannada PS 54 regarding theft. Investigation ongoing under IO Brijesh."
"253","202400253","Case registered at Uttara Kannada PS 1 regarding dowry harassment. Investigation ongoing under IO Hema."
"254","202400254","Case registered at Hassan PS 4 regarding gambling. Investigation ongoing under IO Jacob."
"255","202500255","Case registered at Mysuru PS 57 regarding burglary. Investigation ongoing under IO Akshay."
"256","202400256","Case registered at Kalaburagi PS 35 regarding domestic violence. Investigation ongoing under IO Ikshita."
"257","202500257","Case registered at Koppal PS 18 regarding robbery. Investigation ongoing under IO Vincent."
"258","202400258","Case registered at Kalaburagi PS 26 regarding public nuisance. Investigation ongoing under IO Qushi."
"259","202400259","Case registered at Gadag PS 25 regarding dowry harassment. Investigation ongoing under IO Oviya."
"260","202300260","Case registered at Bidar PS 22 regarding public nuisance. Investigation ongoing under IO William."
"261","202600261","Case registered at Bengaluru Urban PS 106 regarding online fraud. Investigation ongoing under IO Gautami."
"262","202500262","Case registered at Dharwad PS 20 regarding sexual assault. Investigation ongoing under IO Om."
"263","202500263","Case registered at Dharwad PS 9 regarding murder. Investigation ongoing under IO Lekha."
"264","202500264","Case registered at Belagavi PS 46 regarding cheating. Investigation ongoing under IO Ethan."
"265","202400265","Case registered at Mandya PS 15 regarding cheating. Investigation ongoing under IO Lajita."
"266","202500266","Case registered at Yadgir PS 4 regarding dowry harassment. Investigation ongoing under IO Abeer."
"267","202400267","Case registered at Dakshina Kannada PS 46 regarding grievous hurt. Investigation ongoing under IO Dipta."
"268","202600268","Case registered at Bagalkot PS 25 regarding online fraud. Investigation ongoing under IO Ekapad."
"269","202400269","Case registered at Uttara Kannada PS 12 regarding online fraud. Investigation ongoing under IO Alexander."
"270","202500270","Case registered at Hassan PS 10 regarding sexual assault. Investigation ongoing under IO Liam."
"271","202300271","Case registered at Dakshina Kannada PS 19 regarding gambling. Investigation ongoing under IO Chandran."
"272","202500272","Case registered at Bengaluru Urban PS 6 regarding cheating. Investigation ongoing under IO Priya."
"273","202300273","Case registered at Bidar PS 24 regarding online fraud. Investigation ongoing under IO Sanaya."
"274","202400274","Case registered at Shivamogga PS 5 regarding attempt to murder. Investigation ongoing under IO Brijesh."
"275","202600275","Case registered at Ballari PS 29 regarding online fraud. Investigation ongoing under IO Karan."
"276","202600276","Case registered at Haveri PS 18 regarding murder. Investigation ongoing under IO Faqid."
"277","202500277","Case registered at Kalaburagi PS 18 regarding attempt to murder. Investigation ongoing under IO Chandran."
"278","202400278","Case registered at Dakshina Kannada PS 33 regarding vehicle theft. Investigation ongoing under IO Warinder."
"279","202500279","Case registered at Dakshina Kannada PS 43 regarding public nuisance. Investigation ongoing under IO Chasmum."
"280","202300280","Case registered at Ballari PS 49 regarding attempt to murder. Investigation ongoing under IO Vaishnavi."
"281","202300281","Case registered at Chikkaballapur PS 17 regarding identity theft. Investigation ongoing under IO Abdul."
"282","202400282","Case registered at Bengaluru Urban PS 31 regarding dowry harassment. Investigation ongoing under IO Shaurya."
"283","202600283","Case registered at Bengaluru Urban PS 67 regarding public nuisance. Investigation ongoing under IO Chandani."
"284","202500284","Case registered at Mysuru PS 56 regarding online fraud. Investigation ongoing under IO Panini."
"285","202400285","Case registered at Mandya PS 8 regarding vehicle theft. Investigation ongoing under IO Dominic."
"286","202400286","Case registered at Gadag PS 9 regarding sexual assault. Investigation ongoing under IO Garima."
"287","202400287","Case registered at Bagalkot PS 17 regarding dowry harassment. Investigation ongoing under IO Liam."
